time,ax,ay,az
0.0,-129.0,-61.0,-940.0
0.125,-237.0,-96.0,-965.0
0.809,-249.0,-81.0,-962.0
0.934,-165.0,-66.0,-948.0
1.058,-37.0,-74.0,-930.0
1.181,137.0,-58.0,-856.0
1.304,388.0,-77.0,-750.0
1.428,637.0,-70.0,-634.0
1.553,812.0,-73.0,-545.0
1.677,881.0,-58.0,-468.0
1.801,908.0,-49.0,-400.0
2.065,877.0,-53.0,-402.0
2.189,814.0,-60.0,-505.0
2.313,708.0,-65.0,-640.0
2.437,586.0,-68.0,-773.0
2.561,441.0,-69.0,-884.0
2.688,245.0,-85.0,-976.0
2.812,49.0,-73.0,-1008.0
2.937,-117.0,-62.0,-1004.0
3.481,-113.0,-64.0,-992.0
3.611,-46.0,-57.0,-988.0
3.728,54.0,-64.0,-964.0
3.853,154.0,-70.0,-928.0
3.976,346.0,-89.0,-826.0
4.101,554.0,-78.0,-676.0
4.225,753.0,-60.0,-520.0
4.628,876.0,-24.0,-421.0
4.753,862.0,-24.0,-460.0
5.016,806.0,-41.0,-542.0
5.142,678.0,-49.0,-644.0
5.266,469.0,-44.0,-794.0
5.389,176.0,-26.0,-905.0
5.512,-30.0,-8.0,-954.0
6.058,172.0,4.0,-1020.0
6.18,404.0,-10.0,-937.0
6.304,729.0,-41.0,-828.0
6.428,697.0,-69.0,-645.0
6.553,805.0,-62.0,-533.0
6.676,862.0,-38.0,-429.0
6.802,926.0,-16.0,-345.0
6.945,932.0,-9.0,-322.0
7.068,904.0,-6.0,-333.0
7.192,873.0,-16.0,-386.0
7.316,826.0,-4.0,-480.0
7.44,721.0,-5.0,-620.0
7.564,560.0,-6.0,-766.0
7.689,381.0,-18.0,-888.0
7.812,166.0,-24.0,-940.0
7.936,1.0,-28.0,-972.0
8.06,-117.0,-30.0,-969.0
8.324,-92.0,-40.0,-937.0
8.448,28.0,-44.0,-936.0
8.573,174.0,-40.0,-938.0
8.697,292.0,-38.0,-920.0
8.82,384.0,-41.0,-869.0
8.944,449.0,-41.0,-810.0
9.068,540.0,-49.0,-768.0
9.192,598.0,-61.0,-720.0
9.316,693.0,-64.0,-641.0
9.44,754.0,-62.0,-566.0
9.704,740.0,-53.0,-604.0
9.828,584.0,-53.0,-748.0
9.952,314.0,-38.0,-886.0
10.076,110.0,-38.0,-950.0
10.2,-61.0,-26.0,-961.0
10.324,-201.0,-20.0,-953.0
10.728,-269.0,-26.0,-901.0
10.856,-120.0,-42.0,-885.0
10.98,156.0,-56.0,-832.0
11.104,442.0,-60.0,-716.0
11.228,680.0,-44.0,-582.0
11.493,874.0,-28.0,-485.0
11.616,750.0,-52.0,-581.0
11.784,417.0,-46.0,-757.0
11.864,5.0,-37.0,-896.0
12.689,-157.0,-50.0,-930.0
12.812,52.0,-73.0,-889.0
12.937,268.0,-92.0,-821.0
13.06,492.0,-81.0,-778.0
13.184,564.0,-72.0,-704.0
13.312,665.0,-50.0,-598.0
13.436,754.0,-30.0,-490.0
13.56,840.0,-12.0,-396.0
14.245,924.0,24.0,-226.0
14.368,944.0,17.0,-253.0
14.492,830.0,-22.0,-409.0
14.616,669.0,-49.0,-654.0
14.74,381.0,-70.0,-877.0
14.864,177.0,-45.0,-953.0
14.989,-33.0,-65.0,-992.0
15.116,-64.0,-60.0,-989.0
15.38,-81.0,-52.0,-982.0
15.504,46.0,-42.0,-990.0
15.628,192.0,-30.0,-908.0
15.752,489.0,-33.0,-830.0
15.878,664.0,-18.0,-644.0
16.0,840.0,-6.0,-480.0
16.124,926.0,22.0,-321.0
16.388,914.0,13.0,-314.0
16.512,850.0,-8.0,-432.0
16.636,726.0,-41.0,-588.0
16.76,522.0,-54.0,-744.0
16.884,306.0,-48.0,-874.0
17.009,96.0,-25.0,-940.0
17.132,-34.0,-25.0,-958.0
17.396,-73.0,-34.0,-986.0
17.52,-82.0,-33.0,-1001.0
17.644,-12.0,-46.0,-932.0
17.768,162.0,-65.0,-828.0
17.892,462.0,-64.0,-674.0
18.016,670.0,-52.0,-577.0
18.14,788.0,-28.0,-460.0
18.266,856.0,-12.0,-384.0
18.528,908.0,-8.0,-350.0
18.652,886.0,-24.0,-426.0
18.776,760.0,-45.0,-566.0
18.9,564.0,-50.0,-717.0
19.028,342.0,-48.0,-872.0
19.152,145.0,-50.0,-958.0
19.276,-68.0,-62.0,-986.0
19.4,-226.0,-74.0,-982.0
19.664,-229.0,-32.0,-962.0
19.788,-125.0,-10.0,-940.0
19.912,12.0,8.0,-925.0
20.036,180.0,33.0,-880.0
20.16,373.0,66.0,-822.0
20.284,570.0,98.0,-702.0
20.408,754.0,120.0,-590.0
20.532,833.0,145.0,-450.0
20.656,877.0,165.0,-378.0
20.78,885.0,184.0,-334.0
20.905,853.0,152.0,-448.0
21.028,742.0,86.0,-606.0
21.152,550.0,26.0,-813.0
21.276,316.0,4.0,-932.0
21.4,142.0,13.0,-1001.0
21.524,-36.0,12.0,-1002.0
21.65,-158.0,6.0,-968.0
21.774,-285.0,2.0,-936.0
22.036,-274.0,2.0,-972.0
22.16,-134.0,0.0,-1006.0
22.284,6.0,8.0,-1000.0
22.408,149.0,14.0,-962.0
22.532,318.0,28.0,-909.0
22.656,497.0,45.0,-814.0
22.78,640.0,61.0,-716.0
22.907,714.0,112.0,-610.0
23.032,770.0,138.0,-577.0
23.156,842.0,170.0,-562.0
23.284,578.0,112.0,-716.0
23.408,324.0,105.0,-842.0
