time,ax,ay,az
0.0,-6,-32,-357
0.142,-18,-77,-698
0.826,-16,-110,-1029
0.95,-50,-88,-1016
1.074,-29,-52,-1074
1.478,21,-94,-1042
1.602,58,-93,-1061
1.726,52,-82,-1050
1.851,30,-89,-1034
2.115,4,-110,-986
2.238,4,-85,-1021
2.782,-56,-4,-1025
3.871,-41,73,-1046
3.995,-36,238,-1014
4.118,-32,526,-858
4.242,-18,772,-562
4.386,-48,957,-274
4.49,-38,954,-65
4.754,-30,944,44
5.018,-61,966,-48
5.142,-50,910,-248
5.266,-29,765,-553
5.39,-13,521,-817
5.515,8,4,-338
5.638,12,-60,-696
5.762,4,-126,-1033
6.166,-10,-182,-1021
6.71,-10,-21,-1110
6.835,-12,197,-1108
6.958,-24,502,-881
7.082,-38,740,-465
7.206,-53,856,-26
7.33,-54,877,209
7.594,-72,913,298
7.722,-72,928,156
7.846,-73,912,-80
7.97,-45,801,-421
8.094,-45,568,-720
8.218,-42,286,-940
8.342,-66,76,-1045
8.466,-21,-209,-1130
8.59,-17,-252,-1142
8.714,-5,-268,-1125
9.258,-50,8,-1096
9.383,-57,314,-998
9.506,-72,662,-725
9.63,-85,909,-294
9.754,-74,920,33
10.018,-52,930,206
10.142,-54,974,170
10.406,-77,976,69
10.53,-76,916,-92
10.654,-66,754,-410
10.778,-41,537,-740
10.902,-45,306,-977
11.027,-54,161,-1061
11.29,-58,41,-1085
11.415,-42,5,-1065
11.942,-60,5,-1017
12.206,-85,118,-1101
12.33,-116,334,-1130
12.454,-138,621,-950
12.578,-134,816,-510
12.702,-110,840,-104
12.826,-90,824,109
12.95,-97,853,184
13.354,-101,893,188
13.478,-98,857,172
13.602,-125,870,105
13.726,-166,868,-130
13.85,-205,805,-410
13.974,-178,644,-724
14.098,-141,494,-930
14.222,-105,408,-1148
14.346,-122,348,-1188
14.47,-118,262,-1182
14.594,-121,153,-1066
14.718,-101,57,-1066
15.402,-21,53,-1120
15.526,-34,240,-1205
15.65,-96,492,-1194
15.774,-122,680,-885
15.899,-133,773,-410
16.026,-57,816,44
16.15,-33,820,277
16.414,-45,788,418
16.678,-57,798,329
16.802,-53,832,128
16.926,-78,817,-188
17.05,-81,800,-526
17.174,-64,608,-845
17.298,2,348,-1090
17.423,-24,108,-1149
17.546,-28,-6,-1153
17.67,-62,-44,-1109
18.494,-38,-46,-1073
18.618,-26,62,-1157
18.742,-16,416,-1086
18.866,4,750,-745
